ID,Kaynak,İcerik,Kategori
70.0,csgb/SSS,İşçi iş sözleşmesini 4857 sayılı İş Kanunu’nun 24 üncü maddesi uyarınca feshederse kıdem tazminatına hak kazanılır mı?,Kıdem ve İhbar Tazminatı
138.0,csgb/SSS,Mevsimlik bir işte çalışan işçinin yıllık izin hakkı var mıdır?,Yıllık İzin ve Dinlenme Süreleri
3.0,Madde 25,"İşverenin haklı nedenle derhal fesih hakkı; işçinin hırsızlık, devamsızlık veya iş güvenliğini tehlikeye düşürmesi hallerinde doğar.",Kıdem ve İhbar Tazminatı
94.0,csgb/SSS,İşçi ücretlerinin ne kadarlık tutarı bankaya yatırılmalıdır?,"Ücret, Fazla Mesai ve Yan Haklar"
136.0,csgb/SSS,Yıl içinde alınan mazeret izinlerini işveren yıllık izin hakkından düşebilir mi?,Yıllık İzin ve Dinlenme Süreleri
151.0,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,Ustanın işini yapan işçi daha fazla ücret talep edebilme hakkına sahipmidir ?,"Ücret, Fazla Mesai ve Yan Haklar"
91.0,csgb/SSS,İşverenin 2 ay boyunca ücret ödememesi yasal mıdır?,"Ücret, Fazla Mesai ve Yan Haklar"
115.0,csgb/SSS,İşyeri devredilen işçinin devirden önceki alacaklarından yeni şirket mi eski şirket mi sorumludur?,"Ücret, Fazla Mesai ve Yan Haklar"
27.0,Madde 24/II-b,İşverenin işçiye veya ailesine karşı şeref ve haysiyet kırıcı sözler söylemesi haklı fesih nedenidir.,Haklı Nedenle Fesih ve İstifa
146.0,csgb/SSS,Mahkeme işe iade kararı verirse işçinin kaç gün içerisinde işverene başvurması gerekir?,İşe İade ve İş Güvencesi
137.0,csgb/SSS,Hak kazanılması durumunda yıllık izin hakkı ne zaman kullanılabilir?,Yıllık İzin ve Dinlenme Süreleri
98.0,csgb/SSS,Ücretin ne kadarı haczedilebilir veya başkasına devir temlik edilebilir?,"Ücret, Fazla Mesai ve Yan Haklar"
66.0,csgb/SSS,Ücretler hangi aralıklarla ve hangi oranlarda artırılmalıdır?,"Ücret, Fazla Mesai ve Yan Haklar"
37.0,Madde 18/3-a,Sendika üyeliği veya çalışma saatleri dışında sendikal faaliyetlere katılmak fesih için geçerli bir sebep oluşturmaz.,İşe İade ve İş Güvencesi
127.0,csgb/SSS,İşverenin iş sözleşmesini derhal feshetmesini gerektirecek sağlık sebepleri nelerdir?,Haklı Nedenle Fesih ve İstifa
23.0,Madde 4,"Aşağıda belirtilen işlerde ve iş ilişkilerinde bu Kanun hükümleri uygulanmaz; a) Deniz ve hava taşıma işlerinde, b) 50'den az işçi çalıştırılan (50 dahil) tarım ve orman işlerinin yapıldığı işyerlerinde veya işletmelerinde, c) Aile ekonomisi sınırları içinde kalan tarımla ilgili her çeşit yapı işleri, d) Bir ailenin üyeleri ve 3 üncü dereceye kadar (3 üncü derece dahil) hısımları arasında dışardan başka biri katılmayarak evlerde ve el sanatlarının yapıldığı işlerde, e) Ev hizmetlerinde, f) (…)4 çıraklar hakkında, g) Sporcular hakkında",Genel Bilgilendirme ve Diğer
102.0,csgb/SSS,"Genel çalışma süresinin 45 saat olarak belirlendiği bir işyerinde, haftada 44 saat çalışma yaptıran işveren fazla çalışma ücreti ödemeli midir?","Ücret, Fazla Mesai ve Yan Haklar"
161.0,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,"Ben bir firmada 11 yıldır çalışıyorum
 başka bir iş buldum , istifa ettiğim zaman hiç hak talep edemiyorum dimi ?",Haklı Nedenle Fesih ve İstifa
97.0,csgb/SSS,Ücreti zamanında ödenmediği için iş görmekten kaçınan işçinin iş sözleşmesi feshedilir mi?,Mobbing ve Çalışma Koşulları
12.0,Madde 53,"İşyerinde işe başladığı günden itibaren, deneme süresi de içinde olmak üzere, en az bir yıl çalışmış olan işçilere yıllık ücretli izin verilir. Yıllık ücretli izin hakkından vazgeçilemez. Niteliklerinden ötürü bir yıldan az süren mevsimlik veya kampanya işlerinde çalışanlara bu Kanunun yıllık ücretli izinlere ilişkin hükümleri uygulanmaz",Yıllık İzin ve Dinlenme Süreleri
68.0,csgb/SSS,İşyerinde çırak olarak çalışan bir kişi işten ayrılması durumunda kıdem tazminatı alabilir mi?,Kıdem ve İhbar Tazminatı
133.0,csgb/SSS,Ara dinlenmesi süresi ne kadar olmalıdır?,Yıllık İzin ve Dinlenme Süreleri
